AÑO;MES;CONCESION;ENTIDAD PRESTADORA;FERROCARRIL;TIPO DE MATERIAL RODANTE; KM RECORRIDOS 
2021;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 60,373 
2021;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 922,489 
2021;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 69,445 
2021;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,080,939 
2021;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 56,547 
2021;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 839,280 
2021;5;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;5;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;5;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 71,969 
2021;5;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,135,864 
2021;6;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;6;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;6;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 71,059 
2021;6;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,105,762 
2021;7;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;7;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;7;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 74,839 
2021;7;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,145,999 
2021;8;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;8;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;8;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 75,110 
2021;8;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,163,327 
2021;9;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;9;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;9;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 73,647 
2021;9;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,098,567 
2021;10;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;10;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;10;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 78,759 
2021;10;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,236,010 
2021;11;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;11;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;11;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 75,433 
2021;11;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,167,063 
2021;12;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2021;12;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2021;12;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 80,722 
2021;12;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,266,340 
2022;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2022;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2022;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 70,347 
2022;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,082,177 
2022;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2022;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2022;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 59,930 
2022;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 947,212 
2022;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2022;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2022;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 69,964 
2022;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 1,111,253 
2022;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2022;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; -   
2022;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 62,878 
